TOPIK,Username_Posting_Owner,Link_Post_IG,Username_Komentar,Isi_Komentar,Sentimen
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,fathurrkoesn,#TolakRUUTNI #IndonesiaGelap,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,syarifhuman,Berani nya cm sm rakyat sendiri😂,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,gadgetapa,Bukannya introspeksi malah ngadi ngadi,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,hanugrahrachmad,"saya dalang nya pak, kita COD???",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,dhiyabsysyh,Berani kok sama rakyat wkwkw,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,ndank_711,"Lah, TNI beraninya cuma sama rakyat yg bayar pajak. Militer atau ormas ini? Mending bubarin aja TNI nya dah gak jelas tujuannya",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,chfrahma,"Terus kalo tau mau apa? Heran. Itukan salah satu bentuk aspirasi rakyat. Kalo sampe ada petisi menolah RUU ya berarti memang rakyat merasa lebih banyak dirugikan daripada diuntungkan. Sudah tau demikian, dibandingkan sibuk cari dalangnya lebih baik tunjukkan kinerjanya. Toh petisi tinggal petisi, RUU sudah jadi UU.",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,enrico.fe,Pelaku pembuat hashtag Indonesia gelap sudah tertangkap. Berarti Indonesia terang 🤩😎,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,andi.irgi,Akuu pakk sama @juno.sdrmn,0
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,bonavkr,Kalian Dalangnya 😂,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,pantjja,bravo tni,0
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,seenakjiidaat,luar negeri militer nya sibuk bkin strategi dan fokus pada pertahanan loh loh dsini??😂😂😂,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,mhfznn_ashr,"Berani nya sama rakyat, giliran kapal induk negara lain lewat cuma diam jadi patung🤣👏",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,duriankampung,Justru sikap TNi yg seperti ini menegaskan kegelapan demokrasi di indonesia,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,ayudhanin9,"Setelah kolonialisme berakhir, musuh terbesar negara adalah rakyatnya.",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,daniajoedo,"ini pak dalangnya @prabowo @jokowi, ga bakal ada itu petisi sama aksinya kalo mereka kerjanya becus",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,sngkcircuitconsultant,"Mayoritas yang komen mereka sebagian besar hidup setelah era reformasi, shg mereka merasa mereka itu paling benar, dan kendali pemerintah hanya mengekang mereka, percayalah jika rakyat masih terus begini, mereka mudah sekali untuk di pecah belah, sudah kebanyakan partai, rakyatnya ingin saling menang sendiri, tidak ada yg disegani, itulah produk demokrasi setelah lahirnya era reformasi..",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,abiambunten,DIDUGA DALANGNYA ADALAH PARA MANUSIA YG MENANDA TANGANI PENGGULINGAN WAPRES,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,pashadwantara,Obi-Wan: “These are not the activists you’re looking for.”,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,andirharharha,"Negara lain sedang berperang, menggunakan rudal jelajah lintas negara. Indonesia, pejabatnya main tentara-tentaraan, lalu tentara tanpa perang sibuk berperang melawan rakyatnya sendiri 🔥",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,habibsyadzily,"Mantap juga nih bah. Sebuah petisi dan kritik publik kini cukup kuat untuk memicu investigasi. Bukannya menyerap aspirasi warga soal RUU TNI, justru malah sibuk mencari “dalang” di balik opini. Mungkin bagi mereka, warganya harus setuju diam-diam dan tak boleh gelisah terang-terangan. Kalau rakyat bilang “gelap,” yang dicari justru siapa yang menyalakan senter, bukan siapa yang memadamkan lampu. Demokrasi rasa kecurigaan, rupanya sedang naik pangkat. Sudah dimulai ternyata, jadi hati-hatilah.",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,pandji.pragiwaksono,"Saya tau Pak, orang ini -> @mamat_alkatiri",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,cykabapak_,"Perancis butuh 10 tahun untuk meruntuhkan kerajaan. Rusia butuh 5 tahun untuk menggulingkan Tsar. Sedangkan kita, kita berhasil menurunkan Soeharto dalam waktu 17 hari. Bahkan 6 Jendral dan 1 Letnan kehilangan nyawanya hanya di sepertiga malam terakhir. Jadi kita perlu melakukan revolusi lagi!",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,okkisutanto,tau gak sih negara lagi di ambang perang dunia? malah mao perang lawan warganya sendiri?! @puspentni @91agussubiyanto,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,sasetyaningtyas,Hahahahaha komedi banget ini negara 😂,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,alvin.rin_,"berharap ada revolusi, biar bubar aja sekalian, udah gak logis orang orang kaya gitu buat di percaya ato di jadiin pemimpin, bikin aja revolusi kaya borjuis ato bolshevik, inflasi juga gak udah udah ini, ke up trus, tiap hari cetak duit kayanya",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,adamahvaa,Bedakan otoriter sama demokrasi aja kagak pande 😂,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,drh.beni,Saya tau pak ini orangnya > @drh.azhar @andri.pamungkas,0
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,cahaya_multi_sukses,Itulah bisanya mereka..anti kritik perangi rakyat😢,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,thronelega,Instansi anti kritik dan anti audit senggol dong 😂,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,hafaz_zamzami,Kocak emang bukannya ngaca,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,wahyucand_,"Kami yang cinta Indonesia harus kritis terhadap kebijakan pemerintah, kami tidak perlu dalang sebagai pengendali, kami hanya perlu akal sehat.",1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,rahmanblackbird,Dalang pelanggaran HAM 98?,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,taslimsngdji_,TNI tidak punya kewenangan. Kok makin ngawur aja orang2 ini.,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,dwi.soekarno,Kang culik dijadiin presiden ya gini😂,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,azfareha,ibarat musuh terberat adalah diri sendiri,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,arfmhdsh,@ridofahreza pengen pindah ke negara surga firdaus,0
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,wastiah_,"Ha? Bukannya dievaluasi aturannya, malah mengintimidasi yang mengkritisi?",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,raihandavapamungkas,HAHAHAHA lucu banget ini,1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,rezeyye,"Malah fokus nyari dalang, orang mah terima aspirasi rakyatnya😂",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,moh.firmansyahr_,"Dunia sudah sibuk dengan alutsista perang yg canggih dan moderen. Negara kita masih saja militernya sibuk dengan rakyatnya sendiri. Atau begini saja pak TNI, siapa di balik perintah untuk telusuri aktor di balik petisi RUU TNI??",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,landraceisroots,Giliran mau cari dalang dibalik penculikan aktivis dan pemerkosaan etnis tionghoa malah menyangkal...,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,the.petrolhead.500,Sok jago anda ngelawan rakyat sendiri 😂😂😂🤣🤣🤣,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,el_hidayah45,"Lucuan bapak ini dripada alm. Babe Cabita. Coba ikut suci pak, pasti tembus top 3",1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,morrishutajulu,"Mending urusin kapal induk Amerika, kenapa bisa masuk perairan Indonesia di laut aceh",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,mie_cumie,"Udah mau ww3 masih ngurusin kek ginian, ya allah indonesia 😭",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,baimtanaka,"Petisi hastag dll itu kritik, bukan evaluasi diri tapi kok malah dicari tau siapa yg buat. Semoga Allah kasih hidayah para pemimpin Indonesia🤲🏼",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,desviyantorendra,Ngaco banget atuh Pak ..😂😂😂😂,1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,thyfn_d,"Akwkwkwk -9999 aura pak😂, kenyataan nya Indonesia memang gelap, sudah faktanya begitu😂",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,jans_fabs,Bahkan serendah rendah nya israel masih melindungi rakyat nya. Yang ini kok malah musuhan sama rakyat 😅,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,ohayou_sansan28,Kerja yg bener pak🗿,1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,shawn.kenzo.54,"Orang udah kirim dan hadang rudal, kita masih mikirin aturan 😭😭😭😭😭😭",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,ariedwiputrasosroatmodjo,Apakah sudah waktunya ini kawan ? Heheheh 🔥,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,hanafathimah,“Kita tidak anti kritik” pret,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,adam14days,rezim vs rakyat 🗿,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,ddnxwv,Absolute cinema ✨,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,ramabaskara15_,Gak ada kerjaan lain apa buset dah,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,georgpersonal08,""" TNI kuat dengan Rakyat "" saya pernah lewat area tentara dan melihat slogan ini, tetapi saat Rakyat menyorot kinerja Pemerintah dan salah satunya TNI, kok malah di cari siapa dalangnya? Jelas Rakyat marah dan komplain lah, celana dalam saja pakai uang pajak Rakyat. 👎",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,sindi_zhou_liying,Mbok wes to pak. Tentara mbok fokus ngurusi batas wilayah opo opm dsb. Malah ngurusi isu sosial.,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,rangga_dikaputra,Negara lain sibuk buat perang dunia 3 ini sibuk perang sama rakyat sendiri 😂😂😂 #tolakruutni,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,174n_y,"Klw urusan kyk gn No.1...klw srh usut kapal perang Masuk rumah gak permisi ,pura²gak liat sj😂😂",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,wiratamayudhistira,"Apa2 dalang, knp tidak berpikir klo itu adalah aspirasi dari rakyat.",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,2h_aunt,"Idih maksa banget, rakyat gk boleh nolak..harus nerima gitu maksudnya?",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,dandypermata19,Lah petisi berarti masyarakat gak setuju ama RUU itu malah di cari dalang gak masuk akal,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,rud_rano,"Wow, TNI sudah ikut politik ya gini jadinya.. Opini dan kritik sudah dilarang.. Kembali ke orba kah? 😂😂😂😂",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,hendri_hizkia,Polusi ngomong PAHLAWAN. Gak kalah kocak militer ngomong DALANG. Ini alat negara jd SENJATA PENGUASA y? #tolakruutni #indonesiagelap⚠️,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,otongbucat,"Kerja kalian cma bantu pas bencana alam aja, sisanya rakyat yg gaji hadeuh",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,sfmhrn,percaya ga sih kalimat dan pikiran kayak gini keluar dari sosok pemangku jabatan yang mengatur hajat hidup orang banyak???? pola pikirnya beginiiii????,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,papaio271,Gk usah d investigasi..noh kapal amerika masuk Perairan RI d investigas klo berani,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,shinful,Pembungkaman dimulai.,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,freman_74,"Kalau udah tau dalang nya, terus mau ngapain pa ?",-1
